Info 0    [23:37:57.027] Starting TS Server
Info 54   [23:58:59.611] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 26.707500100135803ms
Info 55   [23:58:59.611] Different program with same set of files:: structureIsReused:: 2
Info 56   [23:59:00.030] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [23:59:00.062] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 32.36887490749359ms
Info 58   [23:59:00.062] Different program with same set of files:: structureIsReused:: 2
Info 59   [23:59:00.508] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [23:59:00.525] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 16.944540977478027ms
Info 61   [23:59:00.525] Different program with same set of files:: structureIsReused:: 2
Info 62   [23:59:00.871] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [23:59:00.891] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 19.4172500371933ms
Info 64   [23:59:00.891] Different program with same set of files:: structureIsReused:: 2
Info 65   [23:59:01.359] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [23:59:01.375] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 15.982625007629395ms
Info 67   [23:59:01.375] Different program with same set of files:: structureIsReused:: 2
Info 68   [23:59:02.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [23:59:03.027] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 32.45699989795685ms
Info 70   [23:59:03.027] Different program with same set of files:: structureIsReused:: 2
Info 71   [23:59:03.035] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [23:59:03.052] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 17.43037509918213ms
Info 73   [23:59:03.052] Different program with same set of files:: structureIsReused:: 2
Info 74   [23:59:03.368] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [23:59:03.381] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 12.79562497138977ms
Info 76   [23:59:03.381] Different program with same set of files:: structureIsReused:: 2
Info 77   [23:59:03.652] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [23:59:03.670] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 18.24179196357727ms
Info 79   [23:59:03.670] Different program with same set of files:: structureIsReused:: 2
Info 80   [23:59:04.532] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [23:59:04.563] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 30.205666065216064ms
Info 82   [23:59:04.563] Different program with same set of files:: structureIsReused:: 2
Info 83   [23:59:04.960] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [23:59:04.985] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 24.563042044639587ms
Info 85   [23:59:04.985] Different program with same set of files:: structureIsReused:: 2
Info 86   [23:59:05.290] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [23:59:05.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 11.955625057220459ms
Info 88   [23:59:05.303] Different program with same set of files:: structureIsReused:: 2
Info 89   [23:59:06.511] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [23:59:06.523] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 11.145292043685913ms
Info 91   [23:59:06.523] Different program with same set of files:: structureIsReused:: 2
Info 92   [23:59:10.595] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [23:59:10.623] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 27.604042053222656ms
Info 94   [23:59:10.623] Different program with same set of files:: structureIsReused:: 2
Info 95   [23:59:10.627] getCompletionData: Get current token: 0.018165946006774902
Info 96   [23:59:10.627] getCompletionData: Is inside comment: 0.012167096138000488
Info 97   [23:59:10.627] getCompletionData: Get previous token 1: 0.07583403587341309
Info 98   [23:59:10.627] getCompletionData: Get previous token 2: 0.05141603946685791
Info 99   [23:59:10.628] getCompletionsAtPosition: isCompletionListBlocker: 0.2531249523162842
Info 100  [23:59:10.628] Returning an empty list because completion was requested in an invalid position.
Info 101  [23:59:10.631] getCompletionData: Get current token: 0.013833999633789062
Info 102  [23:59:10.631] getCompletionData: Is inside comment: 0.005707979202270508
Info 103  [23:59:10.631] getCompletionData: Get previous token 1: 0.05287504196166992
Info 104  [23:59:10.631] getCompletionData: Get previous token 2: 0.04366707801818848
Info 105  [23:59:10.631] getCompletionsAtPosition: isCompletionListBlocker: 0.0034170150756835938
Info 106  [23:59:10.631] Returning an empty list because completion was requested in an invalid position.
Info 107  [23:59:10.642] getCompletionData: Get current token: 0.014457941055297852
Info 108  [23:59:10.642] getCompletionData: Is inside comment: 0.00704193115234375
Info 109  [23:59:10.642] getCompletionData: Get previous token 1: 0.05229198932647705
Info 110  [23:59:10.642] getCompletionData: Get previous token 2: 0.04041600227355957
Info 111  [23:59:10.642] getCompletionsAtPosition: isCompletionListBlocker: 0.0032500028610229492
Info 112  [23:59:10.642] Returning an empty list because completion was requested in an invalid position.
Info 113  [23:59:10.644] getCompletionData: Get current token: 0.011958003044128418
Info 114  [23:59:10.644] getCompletionData: Is inside comment: 0.004917025566101074
Info 115  [23:59:10.644] getCompletionData: Get previous token 1: 0.045542001724243164
Info 116  [23:59:10.644] getCompletionData: Get previous token 2: 0.03737509250640869
Info 117  [23:59:10.644] getCompletionsAtPosition: isCompletionListBlocker: 0.0031249523162841797
Info 118  [23:59:10.644] Returning an empty list because completion was requested in an invalid position.
Info 119  [23:59:11.040] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [23:59:11.062] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 20.795916080474854ms
Info 121  [23:59:11.062] Different program with same set of files:: structureIsReused:: 2
Info 122  [23:59:11.063] getCompletionData: Get current token: 0.01216590404510498
Info 123  [23:59:11.063] getCompletionData: Is inside comment: 0.0050830841064453125
Info 124  [23:59:11.063] getCompletionData: Get previous token 1: 0.06875002384185791
Info 125  [23:59:11.063] getCompletionData: Get previous token 2: 0.05012500286102295
Info 126  [23:59:11.063] getCompletionsAtPosition: isCompletionListBlocker: 0.003957986831665039
Info 127  [23:59:11.063] Returning an empty list because completion was requested in an invalid position.
Info 128  [23:59:11.089] getCompletionData: Get current token: 0.01399993896484375
Info 129  [23:59:11.090] getCompletionData: Is inside comment: 0.006291985511779785
Info 130  [23:59:11.090] getCompletionData: Get previous token 1: 0.048583030700683594
Info 131  [23:59:11.090] getCompletionData: Get previous token 2: 0.046250104904174805
Info 132  [23:59:11.090] getCompletionsAtPosition: isCompletionListBlocker: 0.009333014488220215
Info 133  [23:59:11.090] Returning an empty list because completion was requested in an invalid position.
Info 134  [23:59:11.092] getCompletionData: Get current token: 0.012749910354614258
Info 135  [23:59:11.092] getCompletionData: Is inside comment: 0.005915999412536621
Info 136  [23:59:11.092] getCompletionData: Get previous token 1: 0.044541001319885254
Info 137  [23:59:11.092] getCompletionData: Get previous token 2: 0.034667015075683594
Info 138  [23:59:11.092] getCompletionsAtPosition: isCompletionListBlocker: 0.010375022888183594
Info 139  [23:59:11.092] Returning an empty list because completion was requested in an invalid position.
Info 140  [23:59:11.094] getCompletionData: Get current token: 0.010750055313110352
Info 141  [23:59:11.094] getCompletionData: Is inside comment: 0.006041049957275391
Info 142  [23:59:11.094] getCompletionData: Get previous token 1: 0.040457963943481445
Info 143  [23:59:11.094] getCompletionData: Get previous token 2: 0.032791972160339355
Info 144  [23:59:11.094] getCompletionsAtPosition: isCompletionListBlocker: 0.002666950225830078
Info 145  [23:59:11.094] Returning an empty list because completion was requested in an invalid position.
Info 146  [23:59:11.471] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [23:59:11.499] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 27.491459012031555ms
Info 148  [23:59:11.499] Different program with same set of files:: structureIsReused:: 2
Info 149  [23:59:11.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [23:59:12.011] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 16.833375096321106ms
Info 151  [23:59:12.011] Different program with same set of files:: structureIsReused:: 2
Info 152  [23:59:12.012] getCompletionData: Get current token: 0.01237499713897705
Info 153  [23:59:12.012] getCompletionData: Is inside comment: 0.004999995231628418
Info 154  [23:59:12.012] getCompletionData: Get previous token 1: 0.07583308219909668
Info 155  [23:59:12.012] getCompletionData: Get previous token 2: 0.05162501335144043
Info 156  [23:59:12.012] getCompletionsAtPosition: isCompletionListBlocker: 0.010040998458862305
Info 157  [23:59:12.012] Returning an empty list because completion was requested in an invalid position.
Info 158  [23:59:12.022] getCompletionData: Get current token: 0.01191699504852295
Info 159  [23:59:12.022] getCompletionData: Is inside comment: 0.00462496280670166
Info 160  [23:59:12.022] getCompletionData: Get previous token 1: 0.0469590425491333
Info 161  [23:59:12.022] getCompletionData: Get previous token 2: 0.036875009536743164
Info 162  [23:59:12.022] getCompletionsAtPosition: isCompletionListBlocker: 0.0032080411911010742
Info 163  [23:59:12.022] Returning an empty list because completion was requested in an invalid position.
Info 164  [23:59:12.024] getCompletionData: Get current token: 0.011667013168334961
Info 165  [23:59:12.024] getCompletionData: Is inside comment: 0.0051670074462890625
Info 166  [23:59:12.024] getCompletionData: Get previous token 1: 0.05274999141693115
Info 167  [23:59:12.024] getCompletionData: Get previous token 2: 0.044165968894958496
Info 168  [23:59:12.024] getCompletionsAtPosition: isCompletionListBlocker: 0.0036660432815551758
Info 169  [23:59:12.024] Returning an empty list because completion was requested in an invalid position.
Info 170  [23:59:12.025] getCompletionData: Get current token: 0.01191699504852295
Info 171  [23:59:12.025] getCompletionData: Is inside comment: 0.004917025566101074
Info 172  [23:59:12.025] getCompletionData: Get previous token 1: 0.05050003528594971
Info 173  [23:59:12.025] getCompletionData: Get previous token 2: 0.04204106330871582
Info 174  [23:59:12.025] getCompletionsAtPosition: isCompletionListBlocker: 0.0032080411911010742
Info 175  [23:59:12.025] Returning an empty list because completion was requested in an invalid position.
Info 176  [23:59:12.273] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [23:59:12.299] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 26.249958038330078ms
Info 178  [23:59:12.299] Different program with same set of files:: structureIsReused:: 2
Info 179  [23:59:13.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [23:59:13.445] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 28.38237500190735ms
Info 181  [23:59:13.445] Different program with same set of files:: structureIsReused:: 2
Info 182  [23:59:14.785] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [23:59:14.798] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 12.497749924659729ms
Info 184  [23:59:14.798] Different program with same set of files:: structureIsReused:: 2
Info 185  [23:59:14.799] getCompletionData: Get current token: 0.006624937057495117
Info 186  [23:59:14.799] getCompletionData: Is inside comment: 0.004292011260986328
Info 187  [23:59:14.799] getCompletionData: Get previous token 1: 0.02950000762939453
Info 188  [23:59:14.799] getCompletionData: Get previous token 2: 0.02312493324279785
Info 189  [23:59:14.799] getCompletionsAtPosition: isCompletionListBlocker: 0.0021249055862426758
Info 190  [23:59:14.799] Returning an empty list because completion was requested in an invalid position.
Info 191  [23:59:14.807] getCompletionData: Get current token: 0.007750034332275391
Info 192  [23:59:14.807] getCompletionData: Is inside comment: 0.003000020980834961
Info 193  [23:59:14.807] getCompletionData: Get previous token 1: 0.02733290195465088
Info 194  [23:59:14.807] getCompletionData: Get previous token 2: 0.020874977111816406
Info 195  [23:59:14.807] getCompletionsAtPosition: isCompletionListBlocker: 0.002333998680114746
Info 196  [23:59:14.807] Returning an empty list because completion was requested in an invalid position.
Info 197  [23:59:14.808] getCompletionData: Get current token: 0.00604093074798584
Info 198  [23:59:14.808] getCompletionData: Is inside comment: 0.00241696834564209
Info 199  [23:59:14.808] getCompletionData: Get previous token 1: 0.02499997615814209
Info 200  [23:59:14.808] getCompletionData: Get previous token 2: 0.020917057991027832
Info 201  [23:59:14.808] getCompletionsAtPosition: isCompletionListBlocker: 0.0016249418258666992
Info 202  [23:59:14.808] Returning an empty list because completion was requested in an invalid position.
Info 203  [23:59:14.809] getCompletionData: Get current token: 0.005750060081481934
Info 204  [23:59:14.809] getCompletionData: Is inside comment: 0.0025000572204589844
Info 205  [23:59:14.809] getCompletionData: Get previous token 1: 0.025042057037353516
Info 206  [23:59:14.809] getCompletionData: Get previous token 2: 0.020833969116210938
Info 207  [23:59:14.809] getCompletionsAtPosition: isCompletionListBlocker: 0.001667022705078125
Info 208  [23:59:14.809] Returning an empty list because completion was requested in an invalid position.
Info 209  [23:59:15.046] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [23:59:15.061] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 14.527750015258789ms
Info 211  [23:59:15.061] Different program with same set of files:: structureIsReused:: 2
Info 212  [23:59:20.746] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [23:59:20.764] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 18.065624952316284ms
Info 214  [23:59:20.764] Different program with same set of files:: structureIsReused:: 2
Info 215  [23:59:23.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 216  [23:59:23.578] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 13.632916927337646ms
Info 217  [23:59:23.578] Different program with same set of files:: structureIsReused:: 2
Info 218  [23:59:26.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [23:59:26.130] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 23.080167055130005ms
Info 220  [23:59:26.130] Different program with same set of files:: structureIsReused:: 2
Info 221  [23:59:26.132] getCompletionData: Get current token: 0.019124984741210938
Info 222  [23:59:26.133] getCompletionData: Is inside comment: 0.07479190826416016
Info 223  [23:59:26.133] getCompletionData: Get previous token 1: 0.05729091167449951
Info 224  [23:59:26.133] getCompletionData: Get previous token 2: 0.05183303356170654
Info 225  [23:59:26.133] getCompletionsAtPosition: isCompletionListBlocker: 0.006665945053100586
Info 226  [23:59:26.133] Returning an empty list because completion was requested in an invalid position.
Info 227  [23:59:26.154] getCompletionData: Get current token: 0.01479196548461914
Info 228  [23:59:26.154] getCompletionData: Is inside comment: 0.05000007152557373
Info 229  [23:59:26.154] getCompletionData: Get previous token 1: 0.042207956314086914
Info 230  [23:59:26.154] getCompletionData: Get previous token 2: 0.04770803451538086
Info 231  [23:59:26.154] getCompletionsAtPosition: isCompletionListBlocker: 0.006167054176330566
Info 232  [23:59:26.154] Returning an empty list because completion was requested in an invalid position.
Info 233  [23:59:26.155] getCompletionData: Get current token: 0.01100003719329834
Info 234  [23:59:26.155] getCompletionData: Is inside comment: 0.04837501049041748
Info 235  [23:59:26.155] getCompletionData: Get previous token 1: 0.0464169979095459
Info 236  [23:59:26.155] getCompletionData: Get previous token 2: 0.03670799732208252
Info 237  [23:59:26.155] getCompletionsAtPosition: isCompletionListBlocker: 0.002583026885986328
Info 238  [23:59:26.155] Returning an empty list because completion was requested in an invalid position.
Info 239  [23:59:26.155] getCompletionData: Get current token: 0.01041710376739502
Info 240  [23:59:26.155] getCompletionData: Is inside comment: 0.048541903495788574
Info 241  [23:59:26.155] getCompletionData: Get previous token 1: 0.03587496280670166
Info 242  [23:59:26.155] getCompletionData: Get previous token 2: 0.030707955360412598
Info 243  [23:59:26.155] getCompletionsAtPosition: isCompletionListBlocker: 0.0022079944610595703
Info 244  [23:59:26.155] Returning an empty list because completion was requested in an invalid position.
Info 245  [23:59:32.928] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [23:59:32.952] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 21.946791887283325ms
Info 247  [23:59:32.952] Different program with same set of files:: structureIsReused:: 2
Info 248  [23:59:40.074] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 249  [23:59:40.089] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 15.125375032424927ms
Info 250  [23:59:40.089] Different program with same set of files:: structureIsReused:: 2
Info 251  [23:59:46.298] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [23:59:46.317] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 19.244457960128784ms
Info 253  [23:59:46.317] Different program with same set of files:: structureIsReused:: 2
Info 254  [00:10:55.327] Format host information updated
Info 255  [00:10:55.523] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [00:10:55.650] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 126.72445893287659ms
Info 257  [00:10:55.651] Different program with same set of files:: structureIsReused:: 2
Info 258  [00:11:02.051] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [00:11:02.089] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 37.278375029563904ms
Info 260  [00:11:02.089] Different program with same set of files:: structureIsReused:: 2
Info 261  [00:11:03.343] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [00:11:03.359] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 14.853166937828064ms
Info 263  [00:11:03.359] Different program with same set of files:: structureIsReused:: 2
Info 264  [00:11:03.929] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [00:11:03.974] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 45.22874999046326ms
Info 266  [00:11:03.974] Different program with same set of files:: structureIsReused:: 2
Info 267  [00:11:04.620] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [00:11:04.645] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 24.212041974067688ms
Info 269  [00:11:04.645] Different program with same set of files:: structureIsReused:: 2
Info 270  [00:11:08.450] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [00:11:08.483] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 31.399333000183105ms
Info 272  [00:11:08.483] Different program with same set of files:: structureIsReused:: 2
Info 273  [00:11:08.738] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [00:11:08.746] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 8.401165962219238ms
Info 275  [00:11:08.747] Different program with same set of files:: structureIsReused:: 2
Info 276  [00:11:09.293] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [00:11:09.304] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 10.819832921028137ms
Info 278  [00:11:09.304] Different program with same set of files:: structureIsReused:: 2
Info 279  [00:11:10.062] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 280  [00:11:10.092] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 29.753833055496216ms
Info 281  [00:11:10.092] Different program with same set of files:: structureIsReused:: 2
Info 282  [00:11:10.093] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [00:11:10.101] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 8.397042036056519ms
Info 284  [00:11:10.101] Different program with same set of files:: structureIsReused:: 2
Info 285  [00:11:10.464] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 286  [00:11:10.484] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 19.851041078567505ms
Info 287  [00:11:10.484] Different program with same set of files:: structureIsReused:: 2
Info 288  [00:14:26.213] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 289  [00:14:26.316] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 101.46445798873901ms
Info 290  [00:14:26.316] Different program with same set of files:: structureIsReused:: 2
Info 291  [00:14:27.693] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 292  [00:14:27.728] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 35.2022500038147ms
Info 293  [00:14:27.729] Different program with same set of files:: structureIsReused:: 2
Info 294  [00:14:27.731] getCompletionData: Get current token: 0.014583945274353027
Info 295  [00:14:27.731] getCompletionData: Is inside comment: 0.00633394718170166
Info 296  [00:14:27.731] getCompletionData: Get previous token 1: 0.05270791053771973
Info 297  [00:14:27.731] getCompletionData: Get previous token 2: 0.032958984375
Info 298  [00:14:27.732] getCompletionsAtPosition: isCompletionListBlocker: 0.0074579715728759766
Info 299  [00:14:27.732] Returning an empty list because completion was requested in an invalid position.
Info 300  [00:14:27.740] getCompletionData: Get current token: 0.010249972343444824
Info 301  [00:14:27.740] getCompletionData: Is inside comment: 0.004958033561706543
Info 302  [00:14:27.740] getCompletionData: Get previous token 1: 0.043707966804504395
Info 303  [00:14:27.740] getCompletionData: Get previous token 2: 0.03104102611541748
Info 304  [00:14:27.740] getCompletionsAtPosition: isCompletionListBlocker: 0.0038340091705322266
Info 305  [00:14:27.740] Returning an empty list because completion was requested in an invalid position.
Info 306  [00:14:27.747] getCompletionData: Get current token: 0.010833024978637695
Info 307  [00:14:27.747] getCompletionData: Is inside comment: 0.004709005355834961
Info 308  [00:14:27.748] getCompletionData: Get previous token 1: 0.04433298110961914
Info 309  [00:14:27.748] getCompletionData: Get previous token 2: 0.03166604042053223
Info 310  [00:14:27.748] getCompletionsAtPosition: isCompletionListBlocker: 0.003625035285949707
Info 311  [00:14:27.748] Returning an empty list because completion was requested in an invalid position.
Info 312  [00:14:27.749] getCompletionData: Get current token: 0.009292006492614746
Info 313  [00:14:27.749] getCompletionData: Is inside comment: 0.00462496280670166
Info 314  [00:14:27.749] getCompletionData: Get previous token 1: 0.04249989986419678
Info 315  [00:14:27.749] getCompletionData: Get previous token 2: 0.03100001811981201
